Variable,IDCODE,Congruency,Mode,STIMULI,Correctans,RToriginal,RTcorrected
Label,Participant code,Congruency,"Treble, Bass, Word",Stimuli image,Answer correct or incorrect,Reaction time original (ms),Reaction time corrected for errors and 3SDs (ms)
,9,0,1,Bbmajordarkbrown,1.00,641.00,641.00
,9,0,1,Dmajorivory,1.00,790.00,790.00
,9,0,1,Amajororangey,1.00,993.00,993.00
,9,0,1,Gmajordimgray,1.00,1048.00,1048.00
,9,0,1,Ebmajordodgerblue,1.00,1093.00,1093.00
,9,0,1,Abmajorgreen,1.00,1480.00,1480.00
,9,0,1,Fmajorfirebrick,1.00,1469.00,1469.00
,9,0,1,Cmajorsienna,1.00,1470.00,1470.00
,9,0,1,Emajorwhite,1.00,1699.00,1699.00
,9,1,1,Amajordarkbrown,1.00,946.00,946.00
,9,1,1,Cmajorwhite,1.00,770.00,770.00
,9,1,1,Dmajorfirebrick,1.00,801.00,801.00
,9,1,1,Bbmajordimgray,1.00,867.00,867.00
,9,1,1,Emajorgreen,1.00,893.00,893.00
,9,1,1,Abmajorsienna,1.00,1050.00,1050.00
,9,1,1,Gmajorivory,1.00,1622.00,1622.00
,9,1,1,Ebmajororangey,1.00,1804.00,1804.00
,9,1,1,Fmajordodgerblue,1.00,2160.00,2160.00
,9,0,2,BassCmajorsienna,1.00,903.00,903.00
,9,0,2,BassGmajordimgray,1.00,1030.00,1030.00
,9,0,2,BassBbmajordarkbrown,1.00,1093.00,1093.00
,9,0,2,BassFmajorfirebrick,1.00,1098.00,1098.00
,9,0,2,BassAmajororangey,1.00,1272.00,1272.00
,9,0,2,BassEbmajordodgerblue,1.00,1326.00,1326.00
,9,0,2,BassAbmajorgreen,1.00,1650.00,1650.00
,9,0,2,BassDmajorivory,1.00,1707.00,1707.00
,9,0,2,BassEmajorwhite,2.00,4000.00,0.00
,9,1,2,BassCmajorwhite,1.00,598.00,0.00
,9,1,2,BassBbmajordimgray,1.00,630.00,0.00
,9,1,2,BassDmajorfirebrick,1.00,740.00,740.00
,9,1,2,BassEbmajororangey,1.00,776.00,776.00
,9,1,2,BassAbmajorsienna,1.00,1306.00,1306.00
,9,1,2,BassEmajorgreen,1.00,1480.00,1480.00
,9,1,2,BassGmajorivory,1.00,1761.00,1761.00
,9,1,2,BassFmajordodgerblue,1.00,1840.00,1840.00
,9,1,2,BassAmajordarkbrown,1.00,2983.00,2983.00
,9,0,3,Ffirebrick,1.00,498.00,498.00
,9,0,3,Aorangey,1.00,660.00,660.00
,9,0,3,Bbdarkbrown,1.00,662.00,662.00
,9,0,3,Ebdodgerblue,1.00,714.00,714.00
,9,0,3,Csienna,1.00,759.00,759.00
,9,0,3,Ewhite,1.00,779.00,779.00
,9,0,3,Gdimgray,1.00,1168.00,1168.00
,9,0,3,Divory,1.00,1202.00,1202.00
,9,0,3,Abgreen,1.00,1886.00,1886.00
,9,1,3,Bbdimgray,1.00,653.00,653.00
,9,1,3,Eborangey,1.00,710.00,710.00
,9,1,3,Fdodgerblue,1.00,726.00,726.00
,9,1,3,Absienna,1.00,739.00,739.00
,9,1,3,Dfirebrick,1.00,746.00,746.00
,9,1,3,Givory,1.00,766.00,766.00
,9,1,3,Egreen,1.00,1050.00,1050.00
,9,1,3,Cwhite,1.00,1096.00,1096.00
,9,1,3,Adarkbrown,1.00,1288.00,1288.00
